,origin_country,average_price,five_percentage
0,AT,7.0,
1,CN,8.34162928759893,48.50286227212926
2,GB,9.0,51.20967741935484
3,SG,3.38,42.18036529680365
4,US,9.397096774193548,49.57595410326765
5,VE,8.298,47.61904761904761
